z	log 1	log 2	log 3	log 4	log 5	log 6	log 7	log 8	log 9	log 10	log 11	log 12	log 13	
~A
14	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	2.31695723534	-999.25	-999.25	2.50185728073	-999.25	-999.25	-999.25	
15	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	2.35751676559	-999.25	-999.25	2.49233317375	-999.25	-999.25	-999.25	
16	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	2.34890007973	-999.25	-999.25	2.48742866516	-999.25	-999.25	-999.25	
17	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	2.3626832962	-999.25	-999.25	2.5368335247	-999.25	-999.25	-999.25	
18	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	2.35358572006	-999.25	-999.25	2.48814272881	-999.25	-999.25	-999.25	
19	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	2.4023501873	-999.25	-999.25	2.46650004387	-999.25	-999.25	-999.25	
20	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	2.41318559647	-999.25	-999.25	2.51228570938	-999.25	-999.25	-999.25	
21	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	2.39279985428	-999.25	-999.25	2.46128582954	-999.25	-999.25	-999.25	
22	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	2.37335014343	-999.25	-999.25	2.46383333206	-999.25	-999.25	-999.25	
23	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	2.38378572464	-999.25	-999.25	2.51099991798	-999.25	-999.25	-999.25	
